Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxon,Taxon rank,Revised scientific name,Division,Growth Form,Division,Growth form,In GBIF,In SA,Comments,Scientific Name and Authority
,,,,,Navicymbula,pusilla,Navicymbula pusilla,Species,,,,,,Yes,No,,
,,,,,Neidium,,Neidium ,Genus,,,,,,Yes,No,,
,,,,,Netrium,,Netrium,Genus,,,,,,Yes,No,,
Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzchia ,iremissa,Nitzchia iremissa,Species,,,,,,No,,,
Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzchia ,linearis,Nitzchia linearis,Species,,,,,,No,,,
,,,,,Nitzschia,,Nitzschia,Genus,,,,,,Yes,Yes,,
,,,,,Nitzschia,acicularis,Nitzschia acicularis,Species,,,,,,Yes,No,,
,,,,,Nitzschia,agnewii,Nitzschia agnewii,Species,,,,,,Yes,No,,
,,,,,Nitzschia,amphibia,Nitzschia amphibia,Species,,,,,,Yes,Yes,,
,,,,,Nitzschia,archibaldii,Nitzschia archibaldii,Species,,,,,,Yes,No,,
,,,,,Nitzschia,aurariae,Nitzschia aurariae,Species,,,,,,Yes,No,,
,,,,,Nitzschia,capitellata,Nitzschia capitellata,Species,,,,,,Yes,No,,
,,,,,Nitzschia,clausii,Nitzschia clausii,Species,,,,,,Yes,No,,
,,,,,Nitzschia,closterium,Nitzschia closterium,Species,,,,,,Yes,No,,
,,,,,Nitzschia,desertorum,Nitzschia desertorum,Species,,,,,,Yes,No,,
,,,,,Nitzschia,dissipata,Nitzschia dissipata,Species,,,,,,Yes,Yes,,
,,,,,Nitzschia,etoshensis,Nitzschia etoshensis,Species,,,,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Nitzschia,filiformis,Nitzschia filiformis,Species,,,,,,Yes,No,,
,,,,,Nitzschia,frustulum,Nitzschia frustulum,Species,,,,,,Yes,No,,
,,,,,Nitzschia,gracilis,Nitzschia gracilis,Species,,,,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Nitzschia,intermedia,Nitzschia intermedia,Species,,,,,,Yes,No,,
,,,,,Nitzschia,irremissa,Nitzschia irremissa,Species,,,,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Nitzschia,liebertruthii,Nitzschia liebertruthii,Species,,,,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Nitzschia,linearis,Nitzschia linearis,Species,,,,,,Yes,No,,
,,,,,Nitzschia,linearis var. subtilis,Nitzschia linearis var. subtilis,Species,,,,,,Yes,No,,
,,,,,Nitzschia,littorea,Nitzschia littorea,Species,,,,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Nitzschia,microcephala,Nitzschia microcephala,Species,,,,,,Yes,No,,
,,,,,Nitzschia,nana,Nitzschia nana,Species,,,,,,Yes,No,,
,,,,,Nitzschia,palea,Nitzschia palea,Species,,,,,,Yes,No,,
,,,,,Nitzschia,paleacea,Nitzschia paleacea,Species,,,,,,Yes,No,,
,,,,,Nitzschia,pura,Nitzschia pura,Species,,,,,,Yes,No,,
,,,,,Nitzschia,pusilla,Nitzschia pusilla,Species,,,,,,Yes,No,,
,,,,,Nitzschia,recta,Nitzschia recta,Species,,,,,,Yes,No,,
,,,,,Nitzschia,sigma,Nitzschia sigma,Species,,,,,,Yes,Yes,,
,,,,,Nitzschia,sinuata var. delognei,Nitzschia sinuata var. delognei,Species,,,,,,Yes,Yes,,
,,,,,Nitzschia,sublinearis,Nitzschia sublinearis,Species,,,,,,Yes,No,,
Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Nitzschia,symmetrica,Nitzschia symmetrica,Species,,,,,,No,,,
,,,,,Nitzschia,umbonata,Nitzschia umbonata,Species,,,,,,Yes,No,,
,,,,,Nitzscia,communis,Nitzschia communis,Species,,,,,,Yes,No,,
,,,,,Nostoc , ,Nostoc   ,Genus,,,,,,Yes,No,,
,,,,,Nostoc ,commune,Nostoc commune,Species,,,,,,Yes,Yes,,
,,,,,Oedogonium ,,Oedogonium,Genus,,,,,,Yes,Yes,,
,,,,,Oedogonium ,minus,Oedogonium minus,Species,,,,,,Yes,No,,
,,,,,Oocystis, ,Oocystis  ,Genus,,,,,,Yes,No,,
Plantae,Chlorophyta,Trebouxiophyceae,Oocystales,Oocystaceae,Oocystis ,rupestris,Oocystis rupestris,Species,,,,,,No,,,
,,,,,Orthoseira,,Orthoseira,Genus,,,,,,Yes,No,,
,,,,,Oscillatoria,,Oscillatoria ,Genus,,,,,,Yes,Yes,,
,,,,,Oscillatoria ,princeps,Oscillatoria princeps,Species,,,,,,Yes,No,,
,,,,,Oscillatoria ,sancta,Oscillatoria sancta,Species,,,,,,Yes,No,,
,,,,,Oscillatoria ,tenuis,Oscillatoria tenuis,Species,,,,,,Yes,No,,
,,,,,Oxyneis,,Oxyneis,Genus,,,,,,Yes,No,,
,,,,,Palmella, ,Palmella  ,Genus,,,,,,Yes,No,,
,,,,,Pediastrum, ,Pediastrum  ,Genus,,,,,,Yes,No,,
,,,,,Pediastrum ,duplex,Pediastrum duplex,Species,,,,,,Yes,No,,
,,,,,Penium,,Penium,Genus,,,,,,Yes,No,,
,,,,,Phacus ,,Phacus  ,Genus,,,,,,Yes,Yes,,
,,,,,Phormidium ,,Phormidium,Genus,,,,,,Yes,No,,
,,,,,Pinnularia,,Pinnularia,Genus,,,,,,Yes,No,,
,,,,,Pinnularia,acrosphaeria,Pinnularia acrosphaeria,Species,,,,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Pinnularia,borealis,Pinnularia borealis,Species,,,,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Pinnularia,divergens,Pinnularia divergens,Species,,,,,,Yes,No,,
,,,,,Pinnularia,gibba,Pinnularia gibba,Species,,,,,,Yes,No,,
,,,,,Pinnularia,microstauron var. rostrata,Pinnularia microstauron var. rostrata,Species,,,,,,Yes,No,,
,,,,,Pinnularia,rostrata,Pinnularia rostrata,Species,,,,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Pinnularia,subcapitata,Pinnularia subcapitata,Species,,,,,,Yes,No,,
,,,,,Pinnularia,subgibba,Pinnularia subgibba,Species,,,,,,Yes,No,,
,,,,,Pinnularia                 ,subgibba var. sublinearis,Pinnularia subgibba var. sublinearis,Species,,,,,,Yes,No,,
,,,,,Pinnularia,sudetica,Pinnularia sudetica,Species,,,,,,Yes,No,,
,,,,,Pinnularia,viridiformis,Pinnularia viridiformis,Species,,,,,,Yes,No,,
,,,,,Pinnularia,viridis,Pinnularia viridis,Species,,,,,,Yes,No,,
,,,,,Placoneis,,Placoneis,Genus,,,,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Placoneis,dicephala,Placoneis dicephala,Species,,,,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Placoneis,elginensis,Placoneis elginensis,Species,,,,,,Yes,No,,
,,,,,Placoneis,placentula,Placoneis placentula,Species,,,,,,Yes,No,,
,,,,,Planothidium, ,Planothidium  ,Genus,,,,,,Yes,Yes,,
,,,,,Planothidium,engelbrechtii,Planothidium engelbrechtii,Species,,,,,,Yes,No,,
,,,,,Planothidium,frequentissimum,Planothidium frequentissimum,Species,,,,,,Yes,No,,
,,,,,Planothidium,rostatrum,Planothidium rostatrum,Species,,,,,,Yes,No,,
,,,,,Pleurocapsa,,Pleurocapsa ,Genus,,,,,,Yes,No,,
,,,,,Pleurosigma,,Pleurosigma,Genus,,,,,,Yes,Yes,,
,,,,,Pleurosigma,elongatum,Pleurosigma elongatum,Species,,,,,,Yes,No,,
,,,,,Pleurosigma,salinarum,Pleurosigma salinarum,Species,,,,,,Yes,No,,
,,,,,Pleurotaenium, ,Pleurotaenium  ,Genus,,,,,,Yes,No,,
,,,,,Pseudostaurosira,brevistriata,Pseudostaurosira brevistriata,Species,,,,,,Yes,No,,
,,,,,Quadrigula ,,Quadrigula  ,Genus,,,,,,Yes,No,,
,,,,,Reimeria,sinuata,Reimeria sinuata,Species,,,,,,Yes,No,,
,,,,,Reimeria,uniseriata,Reimeria uniseriata,Species,,,,,,Yes,No,,
,,,,,Rhoicosphenia,abbreviata,Rhoicosphenia abbreviata,Species,,,,,,Yes,Yes,,
,,,,,Rhopalodia,,Rhopalodia,Genus,,,,,,Yes,Yes,,
,,,,,Rhopalodia,gibba,Rhopalodia gibba,Species,,,,,,Yes,No,,
,,,,,Rhopalodia,gibberula,Rhopalodia gibberula,Species,,,,,,Yes,Yes,,
,,,,,Rhopalodia,operculata,Rhopalodia operculata,Species,,,,,,Yes,No,,
,,,,,Rivularia,,Rivularia,Genus,,,,,,Yes,No,,
,,,,,Romeria, ,Romeria  ,Genus,,,,,,Yes,No,,
,,,,,Roya,obtusa var. montana,Roya obtusa var. montana,Species,,,,,,Yes,No,,
,,,,,Scenedesmus ,,Scenedesmus,Genus,,,,,,Yes,No,,
,,,,,Scenedesmus ,quadricauda,Scenedesmus quadricauda,Species,,,,,,Yes,No,,
,,,,,Schizothrix,,Schizothrix ,Genus,,,,,,Yes,No,,
,,,,,Scourfieldia,,Scourfieldia ,Genus,,,,,,Yes,No,,
,,,,,Scytonema,,Scytonema ,Genus,,,,,,Yes,Yes,,
,,,,,Scytonema ,crispum,Scytonema crispum,Species,,,,,,Yes,No,,
,,,,,Selenastrum, ,Selenastrum  ,Genus,,,,,,Yes,No,,
,,,,,Sellaphora,,Sellaphora ,Genus,,,,,,Yes,Yes,,
,,,,,Sellaphora,pupula,Sellaphora pupula,Species,,,,,,Yes,No,,
,,,,,Sellaphora,seminulum,Sellaphora seminulum,Species,,,,,,Yes,No,,
,,,,,Simonsenia,delognei,Simonsenia delognei,Species,,,,,,Yes,No,,
,,,,,Sphaerocystis,,Sphaerocystis ,Genus,,,,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Spirogyra ,,Spirogyra,Genus,,,,,,Yes,Yes,,
,,,,,Spirogyra ,reinhardii,Spirogyra reinhardii,Species,,,,,,Yes,Unknown,No coordinates in GBIF,
Plantae,Charophyta,Zygnematophyceae,Zygnematales,Zygnemataceae,Spirogyra ,scripta,Spirogyra scripta,Species,,,,,,No,,,
,,,,,Spirulina ,abbreviata,Spirulina abbreviata,Species,,,,,,Yes,No,,
,,,,,Staurastrum,,Staurastrum,Genus,,,,,,Yes,No,,
,,,,,Staurodesmus ,,Staurodesmus  ,Genus,,,,,,Yes,No,,
,,,,,Stauroneis,,Stauroneis,Genus,,,,,,Yes,Yes,,
,,,,,Stauroneis,anceps,Stauroneis anceps,Species,,,,,,Yes,Yes,,
,,,,,Stauroneis,smithii,Stauroneis smithii,Species,,,,,,Yes,No,,
,,,,,Staurosira,construens,Staurosira construens,Species,,,,,,Yes,No,,
,,,,,Staurosira,elliptica,Staurosira elliptica,Species,,,,,,Yes,No,,
,,,,,Staurosirella,pinnata,Staurosirella pinnata,Species,,,,,,Yes,No,,
,,,,,Stenopterobia ,delicatissima,Stenopterobia delicatissima,Species,,,,,,Yes,No,,
,,,,,Stephanodiscus,,Stephanodiscus,Genus,,,,,,Yes,No,,
,,,,,Stephanodiscus,agassizensis,Stephanodiscus agassizensis,Species,,,,,,Yes,No,,
,,,,,Stichosiphon,,Stichosiphon,Genus,,,,,,Yes,No,,
,,,,,Stigeoclonium, ,Stigeoclonium  ,Genus,,,,,,Yes,Yes,,
,,,,,Stigeoclonium ,tenue,Stigeoclonium tenue,Species,,,,,,Yes,No,,
,,,,,Stigonema,,Stigonema ,Genus,,,,,,Yes,No,,
,,,,,Surirella,,Surirella,Genus,,,,,,Yes,Yes,,
,,,,,Surirella,angusta,Surirella angusta,Species,,,,,,Yes,No,,
,,,,,Surirella,brebissonii,Surirella brebissonii,Species,,,,,,Yes,No,,
,,,,,Synechococcus,,Synechococcus ,Genus,,,,,,Yes,Yes,,
,,,,,Tabellaria,,Tabellaria ,Genus,,,,,,Yes,No,,
,,,,,Tabellaria,flocculosa,Tabellaria flocculosa,Species,,,,,,Yes,No,,
,,,,,Tabularia,,Tabularia,Genus,,,,,,Yes,No,,
,,,,,Tabularia,fasciculata,Tabularia fasciculata,Species,,,,,,Yes,No,,
,,,,,Tetraedriella ,,Tetraedriella  ,Genus,,,,,,Yes,Unknown,No coordinates in GBIF,
,,,,,Tetraedron, ,Tetraedron  ,Genus,,,,,,Yes,No,,
,,,,,Thalassiosira,weissflogi,Thalassiosira weissflogi,Species,,,,,,Yes,No,,
,,,,,Tolypothrix,,Tolypothrix,Genus,,,,,,Yes,No,,
,,,,,Trachelomonas,,Trachelomonas ,Genus,,,,,,Yes,No,,
,,,,,Trachelomonas ,intermedia,Trachelomonas intermedia,Species,,,,,,Yes,No,,
,,,,,Trachelomonas,volvocina,Trachelomonas volvocina,Species,,,,,,Yes,No,,
,,,,,Trebouxia,,Trebouxia ,Genus,,,,,,Yes,No,,
,,,,,Tribonema ,vulgare,Tribonema vulgare,Species,,,,,,Yes,No,,
,,,,,Trichodesmium,,Trichodesmium ,Genus,,,,,,Yes,No,,
,,,,,Tryblionella,,Tryblionella,Genus,,,,,,Yes,No,,
,,,,,Tryblionella,apiculata,Tryblionella apiculata,Species,,,,,,Yes,No,,
,,,,,Tryblionella,calida,Tryblionella calida,Species,,,,,,Yes,No,,
,,,,,Tryblionella,coarctata,Tryblionella coarctata,Species,,,,,,Yes,No,,
,,,,,Tryblionella,hungarica,Tryblionella hungarica,Species,,,,,,Yes,No,,
,,,,,Tryblionella,levidensis,Tryblionella levidensis,Species,,,,,,Yes,No,,
,,,,,Ulothrix ,,Ulothrix,Genus,,,,,,Yes,Yes,,
,,,,,Ulothrix ,punctate,Ulothrix punctate,Species,,,,,,No,,,
Plantae,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichaceae,Ulothrix ,zonata,Ulothrix zonata,Species,,,,,,Yes,No,,
,,,,,Zygnema,,Zygnema,Genus,,,,,,Yes,No,,
,,,,,Zygnema ,pectinatum,Zygnema pectinatum,Species,,,,,,Yes,No,,
