On GBIF,South Africa records,Comments,Source,Taxon Rank,Kingdom,Phylum,Class,Order,Family,Genus,Species,SubSpecies,Taxon,Scientific name and authority,Origin,Endemism,Conservation status,Former scientific names
No,Unknown,,WRC guides,Species,Animalia,Annelida,Clitellata ,Arhynchobdellida,Haemadipsidae,Mesobdella,lineata,,Mesobdella lineata,,Native,Unknown,Not evaluated,
No,Unknown,,WRC guides,Species,Animalia,Annelida,Clitellata ,Arhynchobdellida,Haemopidae,Semiscoloides,congolensis,,Semiscoloides congolensis,"Semiscoloides congolensis (Sciacchitano, 1959)",Native,Unknown,Not evaluated,
Yes,Unknown,No coordinates in GBIF records,WRC guides,Species,Animalia,Annelida,Clitellata ,Arhynchobdellida,Hirudinidae,Aliolimnatis,africana,,Aliolimnatis africana,"Aliolimnatis africana (Blanchard, 1897)",Native,Unknown,Not evaluated,
Yes,Unknown,No coordinates in GBIF records,WRC guides,Species,Animalia,Annelida,Clitellata ,Arhynchobdellida,Hirudinidae,Aliolimnatis,buntonensis,,Aliolimnatis buntonensis,"Aliolimnatis buntonensis (Meyer, 1951)",Native,Unknown,Not evaluated,
No,Unknown,,WRC guides,Species,Animalia,Annelida,Clitellata ,Arhynchobdellida,Hirudinidae,Aliolimnatis,obscura,,Aliolimnatis obscura,"Aliolimnatis obscura (de Moore, 1939)",Native,Unknown,Not evaluated,
Yes,Unknown,No coordinates in GBIF records,WRC guides,Species,Animalia,Annelida,Clitellata ,Arhynchobdellida,Hirudinidae,Aliolimnatis,oligodonta,,Aliolimnatis oligodonta,"Aliolimnatis oligodonta (Johansson, 1913)",Native,Unknown,Not evaluated,
No,Unknown,,WRC guides,Species,Animalia,Annelida,Clitellata ,Arhynchobdellida,Hirudinidae,Hirudo,hildenbrandti,,Hirudo hildenbrandti,"Hirudo hildenbrandti Blanchard, 1897",Native,Unknown,Not evaluated,
No,Unknown,,WRC guides,Species,Animalia,Annelida,Clitellata ,Arhynchobdellida,Hirudinidae,Hirudo,michaelseni,,Hirudo michaelseni,"Hirudo michaelseni Augener, 1936",Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Genus,Animalia,Annelida,Clitellata ,Arhynchobdellida,Hirudinidae,Hirudo,,,Hirudo ,"Hirudo Linnaeus, 1758",Native,Unknown,Not evaluated,
No,Unknown,,WRC guides,Species,Animalia,Annelida,Clitellata ,Arhynchobdellida,Haemopidae,Praobdella,maculata,,Praobdella maculata,"Praobdella maculata (de Moore, 1939)",Native,Unknown,Not evaluated,
Yes,Unknown,No coordinates in GBIF records,WRC guides,Species,Animalia,Annelida,Clitellata ,Arhynchobdellida,Haemopidae,Praobdella,radiata,,Praobdella radiata,"Praobdella radiata de Moore, 1958",Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Family,Animalia,Annelida,Clitellata ,Arhynchobdellida,Hirudinidae,,,,Hirudinidae,,Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Genus,Animalia,Annelida,Clitellata ,Arhynchobdellida,Salifidae,Barbronia,,,Barbronia ,,Native,Unknown,Not evaluated,
No,Unknown,,WRC guides,Species,Animalia,Annelida,Clitellata ,Euhirudinea,Salifidae,Salifa,africana,,Salifa africana,"Salifa africana  (de Moore, 1939)",Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Species,Animalia,Annelida,Clitellata ,Euhirudinea,Salifidae,Salifa,perspicax,,Salifa perspicax,"Salifa perspicax R.Blanchard, 1897",Native,Widespread,Not evaluated,
Yes,Yes,,WRC guides,Genus,Animalia,Annelida,Clitellata ,Euhirudinea,Salifidae,Salifa,,,Salifa ,,Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Family,Animalia,Annelida,Clitellata ,Euhirudinea,Salifidae,,,,Salifidae,,Native,Unknown,Not evaluated,
Yes,Yes,Recorded in legacy Biobase,Biobase,Family,Animalia,Annelida,Clitellata ,Branchiobdellida,Branchiobdellidae,,,,Branchiobdellidae,,Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Species,Animalia,Annelida,Clitellata ,Crassiclitellata,Lumbricidae,Allolobophora,caliginosa,,Allolobophora caliginosa,"Allolobophora caliginosa Savigny, 1826",Native,Widespread,Not evaluated,
Yes,Yes,,WRC guides,Genus,Animalia,Annelida,Clitellata ,Crassiclitellata,Lumbricidae,Allolobophora,,,Allolobophora ,,Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Species,Animalia,Annelida,Clitellata ,Crassiclitellata,Lumbricidae,Dendrobaena,rubida,,Dendrobaena rubida,"Dendrobaena rubida Savigny, 1826",Native,Widespread,Not evaluated,
Yes,Yes,,WRC guides,Species,Animalia,Annelida,Clitellata ,Crassiclitellata,Lumbricidae,Eiseniella,tetraedra,,Eiseniella tetraedra,"Eiseniella tetraedra (Savigny, 1826)",Non-native,Widespread,Not evaluated,
Yes,Yes,,WRC guides,Genus,Animalia,Annelida,Clitellata ,Crassiclitellata,Lumbricidae,Eiseniella,,,Eiseniella ,,Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Genus,Animalia,Annelida,Clitellata ,Crassiclitellata,Lumbricidae,Lumbricus,,,Lumbricus ,,Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Family,Animalia,Annelida,Clitellata ,Crassiclitellata,Lumbricidae,,,,Lumbricidae,,Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Family,Animalia,Annelida,Clitellata ,Enchytraeida,Enchytraeidae,,,,Enchytraeidae,,Native,Unknown,Not evaluated,
Yes,Unknown,No coordinates in GBIF records,WRC guides,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Alluroididae,Alluroides,brinkhursti,,Alluroides brinkhursti,"Alluroides brinkhursti   Jamieson, 1968",Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Genus,Animalia,Annelida,Clitellata ,Haplotaxida,Alluroididae,Alluroides,,,Alluroides ,,Native,Unknown,Not evaluated,
Yes,Unknown,No coordinates in GBIF records,WRC guides,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Alluroididae,Standeria,transvaalensis,,Standeria transvaalensis,"Standeria transvaalensis Jamieson, 1968",Native,Unknown,Not evaluated,
Yes,Unknown,No coordinates in GBIF records,WRC guides,Genus,Animalia,Annelida,Clitellata ,Haplotaxida,Alluroididae,Standeria,,,Standeria ,,Native,Unknown,Not evaluated,
Yes,Unknown,No coordinates in GBIF records,WRC guides,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Syngenodrilidae,Syngenodrilus,lamuensis,,Syngenodrilus lamuensis,"Syngenodrilus lamuensis Smith & Green, 1919",Native,Unknown,Not evaluated,
Yes,Unknown,No coordinates in GBIF records,WRC guides,Genus,Animalia,Annelida,Clitellata ,Haplotaxida,Syngenodrilidae,Syngenodrilus,,,Syngenodrilus ,,Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Family,Animalia,Annelida,Clitellata ,Haplotaxida,Alluroididae,,,,Alluroididae,,Native,Unknown,Not evaluated,
Yes,Unknown,No coordinates in GBIF records,WRC guides,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Almidae,Callidrilus,scrobifer,,Callidrilus scrobifer,"Callidrilus scrobifer  Michaelsen, 1890 ",Native,Unknown,Not evaluated,
No,Unknown,,WRC guides,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Haplotaxidae,Haplotaxis,africanus,,Haplotaxis africanus,"Haplotaxis africanus (Michaelsen, 1905)",Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Family,Animalia,Annelida,Clitellata ,Haplotaxida,Haplotaxidae,,,,Haplotaxidae,,Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Allonais,inaequalis,,Allonais inaequalis,"Allonais inaequalis (Stephenson, 1911)",Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Allonais,paraguayensis,,Allonais paraguayensis,"Allonais paraguayensis (Michaelsen, 1905)",Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Allonais,pectinata,,Allonais pectinata,"Allonais pectinata (Stephenson, 1910)",Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Genus,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Allonais,,,Allonais ,,Native,Unknown,Not evaluated,
Yes,Yes,Recorded in legacy Biobase,Biobase,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Aulophorus,furcatus,,Aulophorus furcatus,"Aulophorus furcatus (Oken, 1815)",Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Genus,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Aulophorus,,,Aulophorus ,,Native,Unknown,Not evaluated,
Yes,Unknown,No coordinates in GBIF records,WRC guides,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Branchiodrilus,cleistochaeta,,Branchiodrilus cleistochaeta,"Branchiodrilus cleistochaeta Dahl, 1957",Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Chaetogaster,limnaei,,Chaetogaster limnaei,"Chaetogaster limnaei von Baer, 1827 ",Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Genus,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Chaetogaster,,,Chaetogaster ,,Native,Unknown,Not evaluated,
Yes,Unknown,No coordinates in GBIF records,WRC guides,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Dero,bauchiensis,,Dero bauchiensis,"Dero bauchiensis (Stephenson, 1930)",Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Dero,cooperi,,Dero cooperi,,Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Dero,digitata,,Dero digitata,"Dero digitata (Müller, 1773) ",Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Dero,furcata,,Dero furcata,"Dero furcata Schmarda, 1861",Native,Unknown,Not evaluated,
No,Yes,,Biobase,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Dero,hymanae,,Dero hymanae,,Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Dero,nivea,,Dero nivea,"Dero nivea Aiyer, 1930   ",Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Genus,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Dero,,,Dero ,,Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Genus,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Haemonais,,,Haemonais ,,Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Genus,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Homochaeta,,,Homochaeta ,,Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Genus,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Naidium,,,Naidium ,,Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Nais,africana,,Nais africana,"Nais africana Brinkhurst, 1966",Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Nais,communis,,Nais communis,,Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Nais,elinguis,,Nais elinguis,"Nais elinguis  Müller, 1773",Native,Unknown,Not evaluated,
No,Yes,,Biobase,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Nais,memoni,,Nais memoni,,Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Nais,simplex,,Nais simplex,"Nais simplex Piguet, 1906",Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Nais,variabilis,,Nais variabilis,"Nais variabilis Piguet, 1906",Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Genus,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Nais,,,Nais ,,Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Paranais,frici,,Paranais frici,,Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Genus,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Paranais,,,Paranais ,,Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Potamothrix,hammoniensis,,Potamothrix hammoniensis,"Potamothrix hammoniensis (Michaelsen, 1901)",Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Genus,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Potamothrix,,,Potamothrix ,,Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Pristina,aequiseta,,Pristina aequiseta,"Pristina aequiseta  Bourne, 1891  ",Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Pristina,foreli,,Pristina foreli,"Pristina foreli Piguet, 1906)",Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Pristina,jenkinae,,Pristina jenkinae,"Pristina jenkinae (Stephenson, 1931)      ",Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Pristina,longiseta,,Pristina longiseta,,Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Pristina,menoni,,Pristina menoni,"Pristina menoni (Aiyer, 1930)     ",Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Pristina,minuta,,Pristina minuta,,Native,Unknown,Not evaluated,
Yes,Yes,No coordinates in GBIF records,Biobase,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Pristina,sperberae,,Pristina sperberae,,Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Pristina,synclites,,Pristina synclites,,Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Genus,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Pristina,,,Pristina ,,Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Rhyacodrilus,stephensoni,,Rhyacodrilus stephensoni,"Rhyacodrilus stephensoni Černosvitov, 1942",Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Genus,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Rhyacodrilus,,,Rhyacodrilus ,,Native,Unknown,Not evaluated,
Yes,Yes,No coordinates in GBIF records,Biobase,Genus,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Schmardaella,,,Schmardaella ,,Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Slavina,appendiculata,,Slavina appendiculata,,Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Genus,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Slavina,,,Slavina ,,Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Stephensoniana,trivandra,,Stephensoniana trivandra,"Stephensoniana trivandra (Aiyer, 1926)",Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Genus,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Stephensoniana,,,Stephensoniana ,,Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Stylaria,fossularis,,Stylaria fossularis,,Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Genus,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Stylaria,,,Stylaria ,,Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Genus,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Vejdovskyella,,,Vejdovskyella ,,Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Family,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,,,,Naididae,,Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Ocnerodrilidae,Eukerria,saltensis,,Eukerria saltensis,"Eukerria saltensis (Beddard, 1895)",Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Genus,Animalia,Annelida,Clitellata ,Haplotaxida,Ocnerodrilidae,Eukerria,,,Eukerria ,,Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Ocnerodrilidae,Pygmaeodrilus,arausionensis,,Pygmaeodrilus arausionensis,"Pygmaeodrilus arausionensis Michaelsen, 1910",Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Genus,Animalia,Annelida,Clitellata ,Haplotaxida,Ocnerodrilidae,Pygmaeodrilus,,,Pygmaeodrilus ,,Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Family,Animalia,Annelida,Clitellata ,Haplotaxida,Ocnerodrilidae,,,,Ocnerodrilidae,,Native,Unknown,Not evaluated,
Yes,Unknown,No coordinates in GBIF records,WRC guides,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Phreodrilidae,Phreodrilus,africanus,,Phreodrilus africanus,"Phreodrilus africanus (Goddard & Malan, 1913)",Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Phreodrilidae,Phreodrilus,niger,,Phreodrilus niger,"Phreodrilus niger (Beddard, 1891)",Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Family,Animalia,Annelida,Clitellata ,Haplotaxida,Phreodrilidae,,,,Phreodrilidae,,Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Species,Animalia,Annelida,Clitellata ,Enchytraeida,Randiellidae,Aulodrilus,limnobius,,Aulodrilus limnobius,,Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Species,Animalia,Annelida,Clitellata ,Enchytraeida,Randiellidae,Aulodrilus,pigueti,,Aulodrilus pigueti,"Aulodrilus pigueti Kowalewski, 1914",Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Genus,Animalia,Annelida,Clitellata ,Enchytraeida,Randiellidae,Aulodrilus,,,Aulodrilus ,,Native,Unknown,Not evaluated,
Yes,Unknown,No coordinates in GBIF records,WRC guides,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Bothrioneurum,aequatorialis,,Bothrioneurum aequatorialis,"Bothrioneurum aequatorialis (Michaelsen, 1935)",Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Bothrioneurum,vejdovskyanum,,Bothrioneurum vejdovskyanum,,Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Genus,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Bothrioneurum,,,Bothrioneurum ,,Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Branchiura,sowerbyi,,Branchiura sowerbyi,,Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Genus,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Branchiura,,,Branchiura ,,Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Epirodrilus,allansoni,,Epirodrilus allansoni,"Epirodrilus allansoni Brinkhurst, 1966",Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Genus,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Epirodrilus,,,Epirodrilus ,,Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Genus,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Ilyodrilus,,,Ilyodrilus ,,Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Limnodrilus,claparedianus,,Limnodrilus claparedianus,"Limnodrilus claparedianus Ratzel, 1868  ",Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Limnodrilus,hoffmeisteri,,Limnodrilus hoffmeisteri,,Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Limnodrilus,udekemianus,,Limnodrilus udekemianus,,Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Genus,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Limnodrilus,,,Limnodrilus ,,Native,Unknown,Not evaluated,
Yes,Unknown,No coordinates in GBIF records,WRC guides,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Monopylephorus,africanus,,Monopylephorus africanus,"Monopylephorus africanus Michaelsen, 1913",Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Genus,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Monopylephorus,,,Monopylephorus ,,Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Tubifex,ignotus,,Tubifex ignotus,,Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Tubifex,natalemis,,Tubifex natalensis,"Tubifex natalensis Brinkhurst, 1966,",Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Species,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Tubifex,tubifex,,Tubifex tubifex,,Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Genus,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,Tubifex,,,Tubifex ,,Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Family,Animalia,Annelida,Clitellata ,Haplotaxida,Naididae,,,,Tubificidae,,Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Species,Animalia,Annelida,Clitellata ,Lumbriculida,Lumbriculidae,Lumbriculus,variegatus,,Lumbriculus variegatus,"Lumbriculus variegatus (Müller, 1774)",Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Genus,Animalia,Annelida,Clitellata ,Lumbriculida,Lumbriculidae,Lumbriculus,,,Lumbriculus ,,Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Family,Animalia,Annelida,Clitellata ,Lumbriculida,Lumbriculidae,,,,Lumbriculidae,,Native,Unknown,Not evaluated,
No,Unknown,,WRC guides,Species,Animalia,Annelida,Clitellata ,Rhynchobdellida,Glossiphoniidae,Alboglossiphonia,cheili,,Alboglossiphonia cheili,"Alboglossiphonia cheili (Oosthuizen, 1978)",Native,Unknown,Not evaluated,
No,Unknown,,WRC guides,Species,Animalia,Annelida,Clitellata ,Rhynchobdellida,Glossiphoniidae,Alboglossiphonia,conjugata,,Alboglossiphonia conjugata,"Alboglossiphonia conjugata (Oosthuizen, 1978)",Native,Unknown,Not evaluated,
No,Unknown,,WRC guides,Species,Animalia,Annelida,Clitellata ,Rhynchobdellida,Glossiphoniidae,Alboglossiphonia,disjuncta,,Alboglossiphonia disjuncta,"Alboglossiphonia disjuncta(de Moore, 1939)",Native,Unknown,Not evaluated,
No,Unknown,,WRC guides,Species,Animalia,Annelida,Clitellata ,Rhynchobdellida,Glossiphoniidae,Alboglossiphonia,macrorhyncha,,Alboglossiphonia macrorhyncha,"Alboglossiphonia macrorhyncha (Oosthuizen, 1978)",Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Genus,Animalia,Annelida,Clitellata ,Rhynchobdellida,Glossiphoniidae,Batracobdella,,,Batracobdella ,,Native,Unknown,Not evaluated,
Yes,Unknown,,WRC guides,Species,Animalia,Annelida,Clitellata ,Rhynchobdellida,Glossiphoniidae,Batracobdelloides,tricarinata,,Batracobdelloides tricarinata,"Batracobdelloides tricarinata (Blanchard, 1897)",Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Genus,Animalia,Annelida,Clitellata ,Rhynchobdellida,Glossiphoniidae,Batracobdelloides,,,Batracobdelloides ,,Native,Unknown,Not evaluated,
Yes,Yes,"Ethiopia, Uganda",Biobase,Species,Animalia,Annelida,Clitellata ,Rhynchobdellida,Glossiphoniidae,Glossiphonia,disjuncta,,Glossiphonia disjuncta,,Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Genus,Animalia,Annelida,Clitellata ,Rhynchobdellida,Glossiphoniidae,Glossiphonia,,,Glossiphonia ,,Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Species,Animalia,Annelida,Clitellata ,Rhynchobdellida,Glossiphoniidae,Helobdella,conifera,,Helobdella conifera,"Helobdella conifera (de Moore, 1933)",Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Species,Animalia,Annelida,Clitellata ,Rhynchobdellida,Glossiphoniidae,Helobdella,stagnalis,,Helobdella stagnalis,"Helobdella stagnalis (Linnaeus, 1758)",Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Genus,Animalia,Annelida,Clitellata ,Rhynchobdellida,Glossiphoniidae,Helobdella,,,Helobdella ,,Native,Unknown,Not evaluated,
No,Unknown,,WRC guides,Species,Animalia,Annelida,Clitellata ,Rhynchobdellida,Glossiphoniidae,Hemiclepsis,quadrata,,Hemiclepsis quadrata,"Hemiclepsis quadrata (de Moore, 1924)",Native,Unknown,Not evaluated,
Yes,Yes,,Biobase,Species,Animalia,Annelida,Clitellata ,Rhynchobdellida,Glossiphoniidae,Marsupiobdella,africana,,Marsupiobdella africana,,Native,Unknown,Not evaluated,
No,Unknown,,WRC guides,Species,Animalia,Annelida,Clitellata ,Rhynchobdellida,Glossiphoniidae,Oosthuizobdella,aspera,,Oosthuizobdella aspera,"Oosthuizobdella aspera (de Moore, 1939)",Native,Unknown,Not evaluated,
Yes,Unknown,No coordinates in GBIF records,WRC guides,Species,Animalia,Annelida,Clitellata ,Rhynchobdellida,Glossiphoniidae,Oosthuizobdella,garoui,,Oosthuizobdella garoui,"Oosthuizobdella garoui (Harding, 1932)",Native,Unknown,Not evaluated,
No,Unknown,,WRC guides,Species,Animalia,Annelida,Clitellata ,Rhynchobdellida,Glossiphoniidae,Oosthuizobdella,stuhlmanni,,Oosthuizobdella stuhlmanni,"Oosthuizobdella stuhlmanni (Blanchard, 1897)",Native,Unknown,Not evaluated,
Yes,Yes,,WRC guides,Genus,Animalia,Annelida,Clitellata ,Rhynchobdellida,Glossiphoniidae,Oosthuizobdella,,,Oosthuizobdella ,,Native,Unknown,Not evaluated,
Yes,Unknown,No coordinates in GBIF records,WRC guides,Species,Animalia,Annelida,Clitellata ,Rhynchobdellida,Glossiphoniidae,Placobdelloides,jaegerskioeldi,,Placobdelloides jaegerskioeldi,"Placobdelloides jaegerskioeldi (Johansson, 1909)",Native,Unknown,Not evaluated,
