Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxon,Scientific name and authority,Common name,Habitat,Origin,Endemism,Conservation status,Subspecies,Subspecies,Former scientific name 1,Former scientific name 2,Former scientific name 3,Former scientific name 4,Former scientific name 5 ,Former scientific name ,Former scientific name ,Former scientific name ,Former scientific name ,Former scientific name ,Former scientific name ,Former scientific name ,Former scientific name ,Former scientific name ,Former scientific name ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Brycinus,lateralis,Brycinus lateralis,"Brycinus lateralis (Boulenger, 1900)",Astriped robber,Freshwater,Native,Widespread,Least concern,,,Alestes langi ,Alestes lateralis,Alestes natalensis,Alestes thamalakanensis,Myletes lateralis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hemigrammopetersius,barnardi,Hemigrammopetersius barnardi,"Hemigrammopetersius barnardi (Herre, 1936)",Barnard's robber,Freshwater,Native,Widespread,Least concern,,,Petersius barnardi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Hydrocynus,vittatus,Hydrocynus vittatus,"Hydrocynus vittatus Castelnau, 1861",Tigerfish,Freshwater,Native,Widespread,Least concern,,,Hydrocinus vittatus,Hydrocion lineatus,Hydrocynus lineatus,Hydrocyon lineatus,Hydrocyon vittatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Micralestes,acutidens,Micralestes acutidens,"Micralestes acutidens  (Peters, 1852)",Silver robber,Freshwater,Native,Widespread,Least concern,,,Alestes acutidens,Brachyalestes acutidens,Micralestes acutidens neglectus,Micralestes brevianalis,Micralestes luluae,Micralestes neglectus,Petersius neglectus,Virilia brevianalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Rhabdalestes,maunensis,Rhabdalestes maunensis,"Rhabdalestes maunensis (Fowler, 1935)",Slender robber,Freshwater,Non-native,Widespread,Least concern,,,Hemigrammopetersius maunensis,Petersius maunensis,Rabdalestes maunensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Characiformes,Distichodontidae,Distichodus,mossambicus,Distichodus mossambicus,"Distichodus mossambicus Peters, 1852",Nkupe,Freshwater,Non-native,Widespread,Least concern,,,Distichodus macrolepis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Characiformes,Distichodontidae,Distichodus,schenga,Distichodus schenga,"Distichodus schenga Peters, 1852",Chessa,Freshwater,Non-native,Widespread,Least concern,,,Distichodus shenga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Characiformes,Distichodontidae,Nannocharax ,machadoi,Nannocharax machadoi,"Nannocharax machadoi Poll, 1967",Dwarf citharine,Freshwater,Non-native,Widespread,Least concern,,,Hemigrammocharax machadoi,Hemigrammocharax monodi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Characiformes,Distichodontidae,Nannocharax ,multifasciatus ,Nannocharax multifasciatus ,"Nannocharax multifasciatus Boulenger, 1923",Multibar citharine,Freshwater,Non-native,Widespread,Least concern,,,Distichodina stigmaturus,Distichodus stigmaturus,Hemigrammocharax multifasciatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Characiformes,Distichodontidae,Nannocharax,macropterus,Nannocharax macropterus,"Nannocharax macropterus Pellegrin, 1925",Broadbarred citharine,Freshwater,Non-native,Widespread,Least concern,Nannocharax macropterus macropterus,Nannocharax macropterus pellegrin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Characiformes,Distichodontidae,Neolebias,lozii,Neolebias lozii,"Neolebias lozii Winemiller & Kelso-Winemiller, 1993",Banded neolebias,Freshwater,Non-native,Micro-endemic level 2,Critically endangered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Characiformes,Hepsetidae,Astyanax ,orthodus,Astyanax  orthodus,"Astyanax orthodus Eigenmann, 1907",,Freshwater,Non-native,Regional endemic level 1,Least concern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Actinopterygii,Characiformes,Hepsetidae,Hepsetus,odoe,Hepsetus odoe,"Hepsetus odoe (Bloch, 1794)",African pike,Euryhaline,Non-native,Widespread,Least concern,,,Hepsetus akawo,Hepsetus fulvus,Hydrocyonoides odoe,Salmo fulvus,Salmo odoe,Sarcodaces odoe,Sarcodaces odor,Xiphorhamphus odoe,Xiphorynchus odoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
