eventID,occurrenceID,institutionCode,collectionCode,catalogNumber,fieldNumber,previousIdentifications,higherClassification,identificationQualifier,basisOfRecord,sex,lifeStage,recordedBy,higherGeography,continent,country,stateProvince,locality,locationID,waterBody,islandGroup,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,geodeticDatum,georeferenceSources,year,month,day,associatedMedia,occurrenceRemarks,organismQuantity,identifiedBy,accessRights,modified,occurrenceStatus,samplingProtocol,individualCount,associatedReferences,datasetName,taxonID,scientificName,vernacularName,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,scientificNameAuthorship,dynamicProperties,taxonRank
OdonataMAP-11,URN:catalog:adu.org.za:odonata:11,ADU-UCT,OdonataMAP-VM,1285168813,,,Animalia|Arthopoda|Insecta|Odonata|Coenagrionidae,,PhotographicRecord,,,"Diedericks G","|South Africa|KwaZulu-Natal",,"South Africa",KwaZulu-Natal,"farm K55 6724; SiyaQhubeka's Kwambonambi commercial tree plantation",VM-Gazetteer-ID:112,,,38,41,0,0,-28.615556,32.222778,0,WGS84,GPS,2009,12,22,,,,"VM ID-panel",0,"2020-03-31 18:21:52",,,,,OdonataMAP,663410,"Pseudagrion hageni","Painted Sprite",Animalia,Arthopoda,Insecta,Odonata,Coenagrionidae,Pseudagrion,hageni,,"Karsch, 1893",LC,species
OdonataMAP-12,URN:catalog:adu.org.za:odonata:12,ADU-UCT,OdonataMAP-VM,1285168813,,,Animalia|Arthopoda|Insecta|Odonata|Coenagrionidae,,PhotographicRecord,,,"Diedericks G","|South Africa|KwaZulu-Natal",,"South Africa",KwaZulu-Natal,"farm K55 6724; SiyaQhubeka's Kwambonambi commercial tree plantation",VM-Gazetteer-ID:112,,,38,41,0,0,-28.615556,32.222778,0,WGS84,GPS,2009,12,21,,,,"VM ID-panel",0,"2020-03-31 18:21:52",,,,,OdonataMAP,663460,"Pseudagrion kersteni","Powder-faced Sprite",Animalia,Arthopoda,Insecta,Odonata,Coenagrionidae,Pseudagrion,kersteni,,"(Gerstäcker, 1869)",LC,species
OdonataMAP-13,URN:catalog:adu.org.za:odonata:13,ADU-UCT,OdonataMAP-VM,1285168813,,,Animalia|Arthopoda|Insecta|Odonata|Libellulidae,,PhotographicRecord,,,"Diedericks G","|South Africa|KwaZulu-Natal",,"South Africa",KwaZulu-Natal,"farm K55 6724; SiyaQhubeka's Kwambonambi commercial tree plantation",VM-Gazetteer-ID:112,,,38,41,0,0,-28.615556,32.222778,0,WGS84,GPS,2009,12,21,,,,"VM ID-panel",0,"2020-03-31 18:21:52",,,,,OdonataMAP,668370,"Rhyothemis semihyalina","Phantom Flutterer",Animalia,Arthopoda,Insecta,Odonata,Libellulidae,Rhyothemis,semihyalina,,"(Desjardins, 1832)",LC,species
OdonataMAP-14,URN:catalog:adu.org.za:odonata:14,ADU-UCT,OdonataMAP-VM,1285168813,,,Animalia|Arthopoda|Insecta|Odonata|Libellulidae,,PhotographicRecord,,,"Diedericks G","|South Africa|KwaZulu-Natal",,"South Africa",KwaZulu-Natal,"farm K55 6724; SiyaQhubeka's Kwambonambi commercial tree plantation",VM-Gazetteer-ID:112,,,38,41,0,0,-28.615556,32.222778,0,WGS84,GPS,2009,12,22,,,,"VM ID-panel",0,"2020-03-31 18:21:52",,,,,OdonataMAP,668670,"Trithemis arteriosa","Red-veined Dropwing",Animalia,Arthopoda,Insecta,Odonata,Libellulidae,Trithemis,arteriosa,,"(Burmeister, 1839)",LC,species
OdonataMAP-15,URN:catalog:adu.org.za:odonata:15,ADU-UCT,OdonataMAP-VM,1285169551,,,Animalia|Arthopoda|Insecta|Odonata|Aeshnidae,,PhotographicRecord,,,"Diedericks G","|South Africa|KwaZulu-Natal",,"South Africa",KwaZulu-Natal,"farm Lot K57 4516; SiyaQhubeka's Kwambonambi commercial tree plantation",VM-Gazetteer-ID:113,,,50,70,0,0,-28.617778,31.193889,0,WGS84,GPS,2009,12,15,,,,"VM ID-panel",0,"2020-03-31 18:21:52",,,,,OdonataMAP,664140,"Anax imperator","Blue Emperor",Animalia,Arthopoda,Insecta,Odonata,Aeshnidae,Anax,imperator,,"Leach, 1815",LC,species
OdonataMAP-16,URN:catalog:adu.org.za:odonata:16,ADU-UCT,OdonataMAP-VM,1285169551,,,Animalia|Arthopoda|Insecta|Odonata|Libellulidae,,PhotographicRecord,,,"Diedericks G","|South Africa|KwaZulu-Natal",,"South Africa",KwaZulu-Natal,"farm Lot K57 4516; SiyaQhubeka's Kwambonambi commercial tree plantation",VM-Gazetteer-ID:113,,,50,70,0,0,-28.617778,31.193889,0,WGS84,GPS,2009,12,15,,,,"VM ID-panel",0,"2020-03-31 18:21:52",,,,,OdonataMAP,667180,"Diplacodes sp.",,Animalia,Arthopoda,Insecta,Odonata,Libellulidae,Diplacodes,,,"Kirby, 1889",,genus
OdonataMAP-17,URN:catalog:adu.org.za:odonata:17,ADU-UCT,OdonataMAP-VM,1285169551,,,Animalia|Arthopoda|Insecta|Odonata|Lestidae,,PhotographicRecord,,,"Diedericks G","|South Africa|KwaZulu-Natal",,"South Africa",KwaZulu-Natal,"farm Lot K57 4516; SiyaQhubeka's Kwambonambi commercial tree plantation",VM-Gazetteer-ID:113,,,50,70,0,0,-28.617778,31.193889,0,WGS84,GPS,2009,12,20,,,,"VM ID-panel",0,"2020-03-31 18:21:52",,,,,OdonataMAP,660300,"Lestes virgatus","Smoky Spreadwing",Animalia,Arthopoda,Insecta,Odonata,Lestidae,Lestes,virgatus,,"(Burmeister, 1839)",LC,species
OdonataMAP-18,URN:catalog:adu.org.za:odonata:18,ADU-UCT,OdonataMAP-VM,1285169551,,,Animalia|Arthopoda|Insecta|Odonata|Libellulidae,,PhotographicRecord,,,"Diedericks G","|South Africa|KwaZulu-Natal",,"South Africa",KwaZulu-Natal,"farm Lot K57 4516; SiyaQhubeka's Kwambonambi commercial tree plantation",VM-Gazetteer-ID:113,,,50,70,0,0,-28.617778,31.193889,0,WGS84,GPS,2009,12,16,,,,"VM ID-panel",0,"2020-03-31 18:21:52",,,,,OdonataMAP,667770,"Orthetrum sp.",,Animalia,Arthopoda,Insecta,Odonata,Libellulidae,Orthetrum,,,"Newman, 1833",,genus
OdonataMAP-19,URN:catalog:adu.org.za:odonata:19,ADU-UCT,OdonataMAP-VM,1285169551,,,Animalia|Arthopoda|Insecta|Odonata|Libellulidae,,PhotographicRecord,,,"Diedericks G","|South Africa|KwaZulu-Natal",,"South Africa",KwaZulu-Natal,"farm Lot K57 4516; SiyaQhubeka's Kwambonambi commercial tree plantation",VM-Gazetteer-ID:113,,,50,70,0,0,-28.617778,31.193889,0,WGS84,GPS,2009,12,15,,,,"VM ID-panel",0,"2020-03-31 18:21:52",,,,,OdonataMAP,667770,"Orthetrum sp.",,Animalia,Arthopoda,Insecta,Odonata,Libellulidae,Orthetrum,,,"Newman, 1833",,genus
OdonataMAP-20,URN:catalog:adu.org.za:odonata:20,ADU-UCT,OdonataMAP-VM,1285169551,,,Animalia|Arthopoda|Insecta|Odonata|Libellulidae,,PhotographicRecord,,,"Diedericks G","|South Africa|KwaZulu-Natal",,"South Africa",KwaZulu-Natal,"farm Lot K57 4516; SiyaQhubeka's Kwambonambi commercial tree plantation",VM-Gazetteer-ID:113,,,50,70,0,0,-28.617778,31.193889,0,WGS84,GPS,2009,12,15,,,,"VM ID-panel",0,"2020-03-31 18:21:52",,,,,OdonataMAP,667770,"Orthetrum sp.",,Animalia,Arthopoda,Insecta,Odonata,Libellulidae,Orthetrum,,,"Newman, 1833",,genus
