Taxon rank,Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxon,Scientific name and authority,Common name,Origin,Endemism,Conservation status,Eco-tolerance,Former scientific name 
Species,Animalia,Chordata,Actinopterygii,Siluriformes,Mochokidae,Chiloglanis,paratus,Chiloglanis paratus,"Chiloglanis paratus Crass, 1960",Sawfin suckermouth / Rock catlet,Native,Widespread,Least concern,1,
Species,Animalia,Chordata,Actinopterygii,Siluriformes,Mochokidae,Chiloglanis,pretoriae,Chiloglanis pretoriae,"Chiloglanis pretoriae van der Horst, 1931",Shortspine suckermouth / Rock catlet,Native,Widespread,Least concern,1,Chiloglanis pumilus
Species,Animalia,Chordata,Actinopterygii,Siluriformes,Mochokidae,Chiloglanis,swierstrai,Chiloglanis swierstrai,"Chiloglanis swierstrai van der Horst, 1931",Lowveld suckermouth / Rock catlet,Native,Widespread,Least concern,1,Chiloglanis engiops
Species,Animalia,Chordata,Actinopterygii,Siluriformes,Clariidae,Clarias,gariepinus,Clarias gariepinus,"Clarias gariepinus (Burchell, 1822)",Sharptooth catfish,Native,Widespread,Least concern,1,Clarias capensis;Clarias depressus;Clarias guentheri;Clarias lazera;Clarias longiceps;Clarias macracanthus;Clarias malaris;Clarias microphthalmus;Clarias micropthalmus;Clarias moorii;Clarias mossambicus;Clarias muelleri;Clarias notozygurus;Clarias orontis;Clarias robecchii;Clarias smithii;Clarias syriacus;Clarias tsanensis;Clarias vinciguerrae;Clarias xenodon;Clarius gariepinus;Macropteronotus charmuth;Silurus gariepinus 
Species,Animalia,Chordata,Actinopterygii,Siluriformes,Clariidae,Clarias,ngamensis,Clarias ngamensis,"Clarias ngamensis Castelnau, 1861",Blunttooth catfish,Native,Widespread,Least concern,1,Clarias mellandi;Clarias nagamensis;Clarias prentissgrayi;Dinopterus jallae;Dinopterus pentissgrayi;Dinotopteroides prentissgrayi;Dinotopterus jallae
Species,Animalia,Chordata,Actinopterygii,Siluriformes,Clariidae,Clarias,theodorae,Clarias theodorae,"Clarias theodorae Weber, 1897",Snake catfish,Native,Widespread,Least concern,1,Clarias amplexicauda;Clarias fouloni;Clarias macrurus;Clarias theodora
Species,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Coptodon,rendalli,Coptodon rendalli,"Coptodon rendalli (Boulenger, 1897)",Redbreast tilapia,Native,Widespread,Least concern,1,Chromis rendallii;Tilapia christyi;Tilapia druryi;Tilapia gefuensis;Tilapia kirkhami;Tilapia latifrons;Tilapia mackeani;Tilapia melanopleura rendalli;Tilapia melanopleura swierstrae;Tilapia rendalli;Tilapia rendalli gefuensis;Tilapia rendalli rendalli;Tilapia rendalli swierstrae;Tilapia rendallis;Tilapia sexfasciata;Tilapia swierstrae;Tilapia sykesii
Species,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Ctenopharyngodon,idella,Ctenopharyngodon idella,"Ctenopharyngodon idella (Valenciennes, 1844)",Grass carp ,Non-native,Widespread,Not evaluated,1,Ctenopharingodon idellus;Ctenopharygodon idella;Ctenopharyngodon idellos;Ctenopharyngodon laticeps;Leuciscus idellus;Leuciscus tschiliensis;Pristiodon siemionovii;Sarcocheilichthys teretiusculus
Species,Animalia,Chordata,Actinopterygii,Perciformes,Anabantidae,Ctenopoma,multispine,Ctenopoma multispine,"Ctenopoma multispine Peters, 1844",Many-spined climbing perch,Native,Widespread,Least concern,1,Anabas machadoi;Anabas multispinis;Anabas rhodesianus;Anabas vernayi;Ctenopoma machadoi;Ctenopoma multispini;Ctenopoma multispinis;Ctenopoma multispinus;Spirobranchus smithii
Species,Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Cyphomyrus,discorhynchus,Cyphomyrus discorhynchus,"Cyphomyrus discorhynchus (Pellegrin, 1936)",Zambezi parrotfish,Non-native,Widespread,Least concern,1,Cyphomyrus cubangoensis;Cyphomyrus smithersi;Hippopotamyrus cubangoensis;Hippopotamyrus discorhynchus;Hippopotamyrus smithersi;Marcusenius cubangoensis;Marcusenius discorhynchus;Marcusenius smithersi;Marcusenius tanganicanus;Mormyrus discorhynchus;Petrocephalus discorhynchus
