RHP Site Code,Latitude,Longitude,,
A3KMAR-KALKD,-25.51633,26.15861,,
A3KMAR-NOOIT,-25.50539,26.20619,,
A3MARI-DERD1,-24.651,26.403,,
A3MARI-DERD2,-24.647,26.409,,
A3MOLE-KAFFE,-25.63583,25.95806,,
A3MOLE-OTTOS,-25.74667,25.97353,,
A3MOLE-PAARD,-25.62774,26.00705,,
A3POLK-DOORD,-25.66619,26.57175,,
A3POLK-SWART,-25.68789,26.63158,,
A3POLK-TWYFE,-25.64697,26.48928,,
A3POLK-VLEID,-25.66758,26.618,,
A3RIBB-SYFER,-25.79211,26.521,,
A3RIET-RENOS,-25.82181,26.43628,,
A3SAND-BUISP,-25.30086,25.94603,,
A3UITV-STERK,-25.66697,26.53997,,
A3UNSP-BOKKR,-25.69364,26.61528,,
A3UNSP-BORAK,-25.28734,25.89918,,
A3UNSP-LEEUW,-25.31661,26.11315,,
A3UNSP-MEZEG,-25.37373,26.21785,,
A3UNSP-MIDDE,-25.65807,26.3363,,
A3UNSP-RIETV,-25.68331,26.61994,,
A3VANS-RIETF,-25.73961,26.52442,,
A4DWAR-JIMMS,-24.27184,28.20002,,
A4DWAR-JIMSE,-24.27183,28.1947,,
A4DWAR-VAALW,-24.26736,28.21873,,
A4DWAR-ZAND1,-24.26736,28.21873,,
A4DWAR-ZANDD,-24.26293,28.2103,,
A4FRIK-FRIKK,-24.31397,27.95724,,
A4FRIK-SHAM1,-24.3425,27.96355,,
A4FRIK-SHAM2,-24.2779,27.97197,,
A4GROO-GROOT,-24.48617,28.04541,,
A4KLSA-BOEKE,-24.45888,28.16963,,
A4KVAA-VAALW,-24.21941,28.05363,,
A4LIMP-CAMBR,-23.41708,27.43052,,
A4MAMB-BUFFE,-24.3255,27.69411,,
A4MAMB-HOPEW,-24.21271,27.50718,,
A4MATL-HOOPD,-24.30814,27.51618,,
A4MATL-MATJE,-23.97658,27.17596,,
A4MATL-MATLA,-24.41273,27.604,,
A4MATL-PHOFU,-24.05114,27.35921,,
A4MATL-WATER,-24.34522,27.56366,,
A4MATL-ZWART,-24.43339,27.56896,,
A4MOKO-ALMAB,-24.48592,28.0737,,
A4MOKO-DNYAL,-23.68747,27.74557,,
A4MOKO-GROEN,-24.32148,28.11745,,
A4MOKO-MARKE,-23.65215,27.75973,,
A4MOKO-MOKOL,-24.05798,27.79485,,
A4MOKO-STERK,-24.1861,27.9547,,
A4MOKO-TWEEF,-24.42723,28.1047,,
A4MOKO-VAALW,-24.28937,28.0924,,
A4MOKO-WITFO,-24.1137,27.80235,,
A4MOKO-WITKO,-23.84773,27.79033,,
A4MOKO-WWORK,-23.97067,27.72595,,
A4RIET-FANCY,-27.6463,23.87707,,
A4RIET-WATER,-27.65303,23.86487,,
A4SAND-LEEUW,-24.57707,28.29252,,
A4SAND-LOUBA,-24.58778,28.20522,,
A4SAND-TOPBR,-24.65283,28.2307,,
A4SAND-UPPER,-24.5345,28.34305,,
A4STER-DOORN,-24.19277,27.93795,,
A4STER-WELG1,-24.36445,27.80962,,
A4STER-WELG2,-24.30572,27.8971,,
A4STER-WELGE,-24.30554,27.89699,,
A4TAAI-TAAIB,-24.18546,27.86122,,
A4TAAI-WELG1,-24.26355,27.84038,,
A4TAAI-WELG2,-24.25918,27.83663,,
A4TAMB-10KMD,-23.83217,27.95279,,
A4TAMB-11KMD,-23.81291,27.94885,,
A50RIE-MAKOU,-24.2693,28.4324,,
A5BLOC-KLIP2,-23.9043,28.2524,,
A5BLOC-NEWBE,-23.855,28.271,,
A5BLOC-TAMBO,-23.8038,28.2694,,
A5BLOC-WILDE,-23.883,28.2701,,
A5DAGG-FRISC,-23.8825,28.3879,,
A5LEPH-ABBOT,-23.4624,28.0956,,
A5LEPH-BEAUT,-23.2181,27.8918,,
A5LEPH-BUFFE,-23.6155,28.119,,
A5LEPH-GOERG,-24.1143,28.4638,,
A5LEPH-HOUTB,-24.3369,28.5,,
A5LEPH-KROON,-23.5752,28.1215,,
A5LEPH-LEPOT,-23.8378,28.2917,,
A5LEPH-MELKR,-23.9941,28.4156,,
A5LEPH-MOERD,-23.8801,28.3365,,
A5LEPH-MOLOP,-23.8882,28.335,,
A5LEPH-VRISC,-24.3523,28.4775,,
A5LEPH-WELTE,-23.7232,28.2333,,
A5LEPH-WITPO,-23.328,27.9978,,
A5LEPH-WITWA,-24.0927,28.4767,,
A5RIET-MAKOU,-24.2693,28.4324,,
A7DWAR-MATOK,-23.4729,29.8034,,
A7SAND-BIRDS,-23.863,29.43,,
A8LUPH-UPPER,-22.7179,30.4293,,
A8NWAN-ADELA,-22.4093,30.5549,,
A8NWAN-CONFL,-22.6298,30.3999,,
A8NWAN-CROSS,-22.5141,30.4477,,
A8NWAN-FALLS,-22.6613,30.3749,,
A8NWAN-FOLOR,-22.471,30.4633,,
A8NWAN-POPAL,-22.348,30.5951,,
A8NWAN-UPPER,-22.7336,30.3841,,
A8NZHE-BAOBA,-22.47603,30.26488,,
A8NZHE-NYALA,-22.42628,30.27445,,
A8NZHE-RIVER,-22.42318,30.28407,,
A8NZHE-SCHOT,-22.49167,30.26337,,
A9DZIN-CROCV,-23.00633,30.4735,,
A9DZIN-FORES,-22.98417,30.33417,,
A9DZIN-TOPBR,-22.98917,30.31783,,
A9LATO-BOTHA,-23.05133,30.2345,,
A9LATO-CABBA,-23.0745,30.32117,,
A9LATO-KLEIN,-23.04869,30.23113,,
A9LATO-LISBO,-23.016,30.19056,,
A9LATO-SEVIL,-23.00722,30.19583,,
A9LATO-TIMBA,-23.02616,30.20227,,
A9LATO-VERAS,-23.01076,30.2234,,
A9LUVU-BEJAB,-23.09183,30.06717,,
A9LUVU-BOBOM,-22.41667,31.20833,,
A9LUVU-BOTS2,-22.7875,30.8485,,
A9LUVU-BOTS3,-22.7875,30.8485,,
A9LUVU-BOTS4,-22.7875,30.8485,,
A9LUVU-BOTSO,-22.7875,30.8485,,
A9LUVU-DONGO,-22.70917,30.88917,,
A9LUVU-GWEIR,-23.1085,30.38767,,
A9LUVU-HASAN,-23.084,30.46933,,
A9LUVU-LAMBA,-22.7365,30.88217,,
A9LUVU-MADZA,-22.49833,31.0595,,
A9LUVU-MALAM,-22.9525,30.649,,
A9LUVU-MANGA,-22.427,31.1745,,
A9LUVU-MHING,-22.753,30.88917,,
A9LUVU-MUTAL,-22.4445,31.076,,
A9LUVU-NANDO,-22.9715,30.60167,,
A9LUVU-ROBER,-23.103,30.34083,,
A9LUVU-SHEFE,-23.0333,30.08333,,
A9LUVU-SHIDZ,-23.6355,30.95833,,
A9LUVU-TSHIF,-22.84283,30.7515,,
A9LUVU-VALDE,-23.085,30.17133,,
A9MBWE-BRIDG,-22.83483,30.65717,,
A9MBWE-DAMAN,-22.843,30.51833,,
A9MUKH-CYCAD,-22.81033,30.64783,,
A9MUTA-BRIDG,-22.70067,30.639,,
A9MUTA-GUYUN,-22.586,30.80533,,
A9MUTA-MUTAL,-22.474,30.8805,,
A9MUTA-RIFFL,-22.80917,30.39117,,
A9MUTA-ROADS,-22.80417,30.41667,,
A9MUTA-SAMBA,-22.70067,30.639,,
A9MUTA-TSHIK,-22.67133,30.7015,,
A9MUTA-TSHIR,-22.80917,30.39117,,
A9MUTA-WHBON,-22.789,30.44267,,
A9MUTS-GAUGI,-22.85333,30.6855,,
A9MUTS-HYDRO,-22.93683,30.40067,,
A9MUTS-MALAV,-22.85667,30.6395,,
A9MUTS-PHIPI,-22.94333,30.4,,
A9MUTS-SCHOO,-22.88617,30.58683,,
A9MUTS-TSHIV,-22.909,30.48633,,
A9STER-ALBAS,-23.068,30.0675,,
A9TSHI-ABSAL,-22.75717,30.475,,
A9TSHI-BRIDG,-22.75717,30.475,,
A9TSHI-SECON,-22.71833,30.6505,,
B1BLES-BLESB,-25.836,29.215,,
B1BRUG-SCHOO,-25.887,29.153,,
B1DWAR-RIETF,-26.34455,29.21238,,
B1KIEP-PALM2,-26.44238,29.35315,,
B1KLIP-HARTB,-25.768,29.122,,
B1KLIP-ZAAIH,-25.679,29.169,,
B1KOLI-BANKF,-25.67358,29.31681,,
B1KOLI-DEGRO,-25.944,29.652,,
B1KOLI-DOORN,-25.669,29.335,,
B1KOLI-MIDDE,-25.752,29.461,,
B1KOLI-N2RBR,-25.8169,29.5964,,
B1KOLI-RONDE,-25.758,29.493,,
B1KOLI-TOEVL,-25.715,29.433,,
B1KOLI-WOEST,-25.91421,29.62978,,
B1KOLI-ZAAIP,-25.825,29.601,,
B1OLIF-AASVO,-25.758,29.318,,
B1OLIF-MIDDE,-26.221,29.46,,
B1OLIF-MOOIF,-25.821,29.294,,
B1OLIF-SLAGT,-25.599,29.21,,
B1OLIF-SNAAK,-25.632,29.218,,
B1OLIF-VAALK,-26.10697,29.32333,,
B1OLIF-VAND1,-26.09633,29.28827,,
B1OLIF-VANDY,-26.104,29.323,,
B1OLIF-ZEEK2,-25.841,29.267,,
B1OLIF-ZEEKO,-25.847,29.287,,
B1PIEK-PALMI,-26.44238,29.35315,,
B1RIET-FRISC,-26.18991,29.18616,,
B1RIET-VIERF,-26.21863,29.12366,,
B1SPOO-GOEDE,-25.89094,29.42222,,
B1SPOO-RIETF,-25.85905,29.3913,,
B1STEE-AANGL,-26.32722,29.28705,,
B1STEE-MIDDE,-26.13733,29.26986,,
B1STEE-ONVER,-26.29602,29.26486,,
B1STEE-RIETB,-26.24752,29.44148,,
B1STEE-STEEN,-26.09269,29.23861,,
B1TRIC-HOLFO,-26.45915,29.21928,,
B1TRIC-RIETF,-26.34466,29.21638,,
B1TRIC-TRICH,-26.49389,29.23874,,
B1UNSP-GOED6,-26.08288,29.04888,,
B1UNSP-PALM3,-26.47163,29.36596,,
B1VAAL-DOWNS,-25.78983,29.48336,,
B1VAAL-UPSTR,-25.82358,29.48978,,
B2BRON-KLIPE,-25.828,28.717,,
B2BRON-ROOIP,-25.952,28.69,,
B2BRON-VLAKF,-25.864,28.708,,
B2BRON-WAAIK,-26.01,28.677,,
B2HOND-HOND1,-25.7967,28.7179,,
B2UNSP-DWAAL,-26.00233,28.88569,,
B2UNSP-KORTF,-25.87852,28.86672,,
B2WILG-BOOYZ,-25.58,29.171,,
B2WILG-BOSSE,-25.903,28.852,,
B2WILG-DCONV,-26.30709,28.82817,,
B2WILG-DWAAL,-26.011,28.87,,
B2WILG-IFR04,-25.61994,28.99883,,
B2WILG-KLIPF,-25.751,28.958,,
B2WILG-KRANS,-25.622,29,,
B2WILG-SPITZ,-25.781,28.886,,
B2WILG-UCONV,-26.3085,28.82807,,
B2WILG-WASCH,-25.751,28.958,,
B3ELAN-DETWE,-25.551,28.568,,
B3ELAN-DOORN,-25.575,28.577,,
B3ELAN-FAIRF,-25.433,28.578,,
B3ELAN-RHENO,-25.115,28.957,,
B3ELAN-ROOIK,-25.189,28.63,,
B3ELAN-SPRIN,-25.408,28.569,,
B3ELAN-UITVL,-25.303,28.464,,
B3KRAN-ZEEKO,-25.4376,29.4758,,
B3KRUI-DIEPK,-25.36655,29.6186,,
B3MOSE-DENNI,-25.272,29.181,,
B3MOSE-GROEN,-25.159,29.328,,
B3OLIF-DEWAG,-25.371,29.395,,
B3OLIF-DONKE,-25.511,29.265,,
B3OLIF-GROBL,-25.16167,29.41417,,
B3OLIF-KABEL,-25.555,29.214,,
B3OLIF-LOSKO,-25.4,29.368,,
B3OLIF-LOSNR,-25.49567,29.25411,,
B3OLIF-VARKE,-25.049,29.414,,
B3SELO-AVONT,-25.43373,29.52858,,
B3SELO-DEWAG,-25.3703,29.39929,,
B3SELO-KRUIS,-25.384,29.454,,
B4BEET-WATER,-24.957,30.302,,
B4DORP-ELAND,-25.28812,30.245,,
B4DORP-LANGE,-25.11066,30.44263,,
B4DORP-LASKE,-25.11388,30.4403,,
B4DORP-LYDEN,-25.08917,30.44889,,
