Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxon,Scientific name and authority,Former scientific name,Common name,Habitat,Origin,Endemism,Conservation status
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Clypeobarbus,bellcrossi,Clypeobarbus bellcrossi,"Clypeobarbus bellcrossi (Conway and Stiassny, 2008)",Barbus bellcrossi ,Gorgeous barb,Freshwater,Alien,Widespread,Data deficient
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Coptostomabarbus,wittei,Coptostomabarbus wittei,"Coptostomabarbus wittei David & Poll, 1937",,Upjaw barb,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Ctenopharyngodon,idella,Ctenopharyngodon idella,"Ctenopharyngodon idella (Valenciennes, 1844)",,Grass carp ,Freshwater,Alien,Widespread,Not evaluated
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Cyprinus,carpio,Cyprinus carpio,"Cyprinus carpio Linnaeus, 1758",,Common carp,Freshwater,Alien,Widespread,Vulnerable
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Engraulicypris,brevianalis,Engraulicypris brevianalis,"Engraulicypris brevianalis (Boulenger, 1908)",Mesobola brevianalis,Hyphen barb,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,afrohamiltoni,Enteromius afrohamiltoni,"Enteromius afrohamiltoni (Crass, 1960)",Barbus afrohamiltoni ,Hamilton's barb,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,afrovernayi,Enteromius afrovernayi,"Enteromius afrovernayi (Nichols & Boulton, 1927)",Barbus afrovernayi ,Spottail barb,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,amatolicus,Enteromius amatolicus,"Enteromius amatolicus (Skelton, 1990)",Barbus amatolicus ,Amatola barb,Freshwater,Native,Widespread,Data deficient
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,annectens,Enteromius annectens,"Enteromius annectens (Gilchrist & Thompson, 1917)",Barbus annectens ,Broadstriped barb,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,anoplus,Enteromius anoplus,"Enteromius anoplus  (Weber, 1897)",Barbus anoplus,Chubbyhead barb,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,argenteus,Enteromius argenteus,"Enteromius argenteus (Günther, 1868)",Barbus argenteus ,Rosefin barb,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,barnardi,Enteromius barnardi,"Enteromius barnardi (Jubb, 1965)",Barbus barnardi ,Blackback barb,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,barotseensis,Enteromius barotseensis,"Enteromius barotseensis (Pellegrin, 1920)",Barbus barotseensis ,Barotse barb,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,bifrenatus,Enteromius bifrenatus,"Enteromius bifrenatus (Fowler, 1935)",Barbus bifrenatus ,Hyphen barb,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,breviceps,Enteromius breviceps,"Enteromius breviceps (Trewavas, 1936)",Barbus breviceps,Shorthead barb,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,brevidorsalis,Enteromius brevidorsalis,"Enteromius brevidorsalis (Boulenger, 1915)",Barbus brevidorsalis ,Dwarf barb,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,brevipinnis,Enteromius brevipinnis,"Enteromius brevipinnis (Jubb, 1966)",Barbus brevipinnis ,Shortfin barb,Freshwater,Native,Widespread,Near threatened
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,choloensis,Enteromius choloensis,"Enteromius choloensis (Norman, 1925)",Barbus choloensis,Silver barb,Freshwater,Alien,Regional endemic level 1,Vulnerable
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,dorsolineatus,Enteromius dorsolineatus,"Enteromius dorsolineatus (Trewavas, 1936)",Barbus dorsolineatus ,Topstripe barb,Freshwater,Alien,Regional endemic level 1,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,eutaenia,Enteromius eutaenia,"Enteromius eutaenia (Boulenger, 1904)",Barbus eutaenia ,Orangefin barb,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Enteromius,fasciolatus,Enteromius fasciolatus,"Enteromius fasciolatus (Günther, 1868)",Barbus fasciolatus ,Red barb,Freshwater,Alien,Widespread,Least concern
