Kingdom,Phylum,Class,Order,Family,Genus,Species,Taxon,Scientific name and authority,Former scientific name,Common name,Habitat,Origin,Endemism,Conservation status
Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Aplocheilichthys,macrurus,Aplocheilichthys macrurus,"Aplocheilichthys macrurus (Boulenger, 1904)",Aplocheilichthys macrurus ,Big tailed lampeye,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Gambusia,affinis,Gambusia affinis,"Gambusia affinis (Baird & Girard, 1853)",,Mosquitofish,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Hypsopanchax,jubbi,Hypsopanchax jubbi,"Hypsopanchax jubbi Poll & Lambert, 1965",,Southern deepbody,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Micropanchax,hutereaui,Micropanchax hutereaui,"Micropanchax hutereaui Ghedotti, 2000",Aplocheilichthys hutereaui ,Meshscaled topminnow,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Micropanchax,johnstoni,Micropanchax johnstoni,"Micropanchax johnstoni Ghedotti, 2000",Aplocheilichthys johnstoni ,Johnston's topminnow,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Micropanchax,katangae,Micropanchax katangae,"Micropanchax katangae Ghedotti, 2000",Aplocheilichthys katangae ,Striped topminnow,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Micropanchax,myaposae,Micropanchax myaposae,"Micropanchax myaposae Ghedotti, 2000",Aplocheilichthys myaposae ,Natal topminnow,Freshwater,Native,Regional endemic level 1,Near threatened
Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Phalloceros,caudimaculatus,Phalloceros caudimaculatus,"Phalloceros caudimaculatus (Hensel, 1868)",,Dusky millions fish,Freshwater,Alien,Widespread,Not evaluated
Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Poecilia,reticulata,Poecilia reticulata,"Poecilia reticulata  Peters, 1859",,Guppy ,Freshwater,Native,Widespread,Not evaluated
Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Xiphophorus,helleri,Xiphophorus helleri,"Xiphophorus helleri Heckel, 1848",,Swordtail ,Freshwater,Native,Widespread,Not evaluated
Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Xiphophorus ,maculatus,Xiphophorus  maculatus,"Xiphophorus maculatus (Gunther, 1866)",,Southern platyfish ,Freshwater,Alien,Widespread,Not evaluated
Animalia,Chordata,Actinopterygii,Cyprinodontiformes ,Aplocheilidae,Nothobranchius,boklundi,Nothobranchius boklundi,Nothobranchius boklundi Valdesalici 2010,,,Freshwater,Alien,Widespread,Not evaluated
Animalia,Chordata,Actinopterygii,Cyprinodontiformes ,Aplocheilidae,Nothobranchius,capriviensis,Nothobranchius capriviensis,"Nothobranchius capriviensis Watters, Wildekamp & Shidlovskiy, 2015",,,Freshwater,Alien,Widespread,Not evaluated
Animalia,Chordata,Actinopterygii,Cyprinodontiformes ,Aplocheilidae,Nothobranchius,furzeri,Nothobranchius furzeri,"Nothobranchius furzeri Jubb, 1971",,Turquoise killifish,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cyprinodontiformes ,Aplocheilidae,Nothobranchius,kadleci,Nothobranchius kadleci,Nothobranchius kadleci Reichard 2010,,,Freshwater,Alien,Widespread,Not evaluated
Animalia,Chordata,Actinopterygii,Cyprinodontiformes ,Aplocheilidae,Nothobranchius,kafuensis,Nothobranchius kafuensis,"Nothobranchius kafuensis Wildekamp & Rosenstock, 1989",,Caprivi killifish,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cyprinodontiformes ,Aplocheilidae,Nothobranchius,krysanovi,Nothobranchius krysanovi,"Nothobranchius krysanovi Schidlovskiy, Watters & Wildekamp, 2010",,,Freshwater,Alien,Widespread,Not evaluated
Animalia,Chordata,Actinopterygii,Cyprinodontiformes ,Aplocheilidae,Nothobranchius,kuhntae,Nothobranchius kuhntae,"Nothobranchius kuhntae (Ahl, 1926)",,Beira killifish,Freshwater,Alien,Widespread,Data deficient
Animalia,Chordata,Actinopterygii,Cyprinodontiformes ,Aplocheilidae,Nothobranchius,mkuziensis,Nothobranchius mkuziensis,Nothobranchius mkuziensis Wildekamp 2004,Fundulus mkuziensis ,,Freshwater,Alien,Widespread,Not evaluated
Animalia,Chordata,Actinopterygii,Cyprinodontiformes ,Aplocheilidae,Nothobranchius,orthonotus,Nothobranchius orthonotus,"Nothobranchius orthonotus (Peters, 1844)",,Spotted killifish,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Cyprinodontiformes ,Aplocheilidae,Nothobranchius,pienaari ,Nothobranchius pienaari ,"Nothobranchius pienaari Schidlovskiy, Watters & Wildekamp, 2010",,,Freshwater,Native,Widespread,Not evaluated
Animalia,Chordata,Actinopterygii,Cyprinodontiformes ,Aplocheilidae,Nothobranchius,rachovii,Nothobranchius rachovii,"Nothobranchius rachovii Ahl, 1926",,Rainbow killifish,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Elopiformes,Megalopidae,Megalops,cyprinoides,Megalops cyprinoides,"Megalops cyprinoides (Broussonet, 1782)",,Oxeye tarpon,Freshwater,Native,Widespread,Data deficient
Animalia,Chordata,Actinopterygii,Gadiformes,Lotidae,Gaidropsarus,capensis,Gaidropsarus capensis,"Gaidropsarus capensis (Kaup, 1858)",,Cape rockling,Freshwater,Native,Regional endemic level 1,Not evaluated
Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Glossogobius,giuris,Glossogobius giuris,"Glossogobius giuris (Hamilton, 1822)",,Tank goby,Euryhaline,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Gonorynchiformes,Kneriidae,Kneria,auriculata,Kneria auriculata,"Kneria auriculata (Pellegrin, 1905)",,Southern kneria,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Gonorynchiformes,Kneriidae,Kneria,maydelli,Kneria maydelli,"Kneria maydelli Ladiges & Voelker, 1961",,Cunene kneria,Freshwater,Alien,Micro-endemic level 2,Least concern
Animalia,Chordata,Actinopterygii,Gonorynchiformes,Kneriidae,Kneria,polli,Kneria polli,"Kneria polli Trewavas, 1936",,Northern kneria,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Gonorynchiformes,Kneriidae,Kneria ,angolensis,Kneria  angolensis,"Kneria angolensis Steindachner, 1866",,Angola kneria,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Gonorynchiformes,Kneriidae,Parakneria,fortuita,Parakneria fortuita,"Parakneria fortuita Penrith, 1973",,Cubango kneria,Freshwater,Alien,Regional endemic level 2,Data deficient 
Animalia,Chordata,Actinopterygii,Gonorynchiformes,Kneriidae,Parakneria,mossambica,Parakneria mossambica,"Parakneria mossambica Jubb & Bell-Cross, 1974",,Gorongoza kneria,Freshwater,Alien,Micro-endemic level 1,Least concern
Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,Chelon,richardsonii,Chelon richardsonii,"Chelon richardsonii (Smith, 1846)",Liza richardsonii,South African mullet,Euryhaline,Native,Widespread,Not evaluated
Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,Crenimugil,cunnesius,Crenimugil cunnesius,"Crenimugil buchanani (Bleeker, 1853)",Valamugil cunnesius ,Bluetail Mullet,Euryhaline,Native,Widespread,Not evaluated
Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,Mugil,cephalus,Mugil cephalus,"Mugil cephalus  Linnaeus, 1758",,Flathead grey mullet,Euryhaline,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,Myxus,capensis,Myxus capensis,"Myxus capensis (Valenciennes, 1836)",,Freshwater mullet,Euryhaline,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,Neochelon, falcipinnis ,Neochelon  falcipinnis ,"Neochelon falcipinnis (Valenciennes, 1836)",Liza falcipinnis,Sicklefin Mullet,Euryhaline,Alien,Widespread,Data deficient
Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,Planiliza,macrolepis,Planiliza macrolepis,"Planiliza macrolepis (Smith, 1846)",,Large-scale mullet ,Euryhaline,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Osmeriformes,Galaxiidae,Galaxias,sp.‘Joubertina’,Galaxias sp.‘Joubertina’,"Galaxias sp.‘Joubertina’ Chakona et al., 2018",,,Freshwater,Native,Regional endemic level 1,Data deficient
Animalia,Chordata,Actinopterygii,Osmeriformes,Galaxiidae,Galaxias,zebratus,Galaxias zebratus,"Galaxias zebratus (Castelnau, 1861)",,Cape galaxias,Freshwater,Native,Regional endemic level 1,Data deficient 
Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Hippopotamyrus,ansorgii,Hippopotamyrus ansorgii,"Hippopotamyrus ansorgii (Boulenger,1905)",,Slender stonebasher,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Hippopotamyrus,discorhynchu,Hippopotamyrus discorhynchu,"Cyphomyrus discorhynchus (Pellegrin, 1936)",Hippopotamyrus discorhynchus ,Zambezi parrotfish,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Hippopotamyrus,longilateralis,Hippopotamyrus longilateralis,Hippopotamyrus longilateralis Kramer and Swartz 2010,,,Freshwater,Alien,Micro-endemic level 2,Not evaluated
Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Hippopotamyrus,szaboi,Hippopotamyrus szaboi,"Hippopotamyrus szaboi Kramer van der Bank & Wink, 2004",,,Freshwater,Alien,Micro-endemic level 2,Least concern
Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Marcusenius,altisambesi,Marcusenius altisambesi,"Marcusenius altisambesi Kramer, Skelton, van der Bank & Wink, 2007",,,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Marcusenius,caudisquamatus,Marcusenius caudisquamatus,"Marcusenius caudisquamatus Maake, Gon & Swartz, 2014",,,Freshwater,Native,Micro-endemic level 1,Endangered
Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Marcusenius,cubangoensis,Marcusenius cubangoensis,"Marcusenius cubangoensis Pellegrin, 1936",,Elephantfish,Freshwater,Alien,Widespread,Not evaluated
Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Marcusenius,desertus,Marcusenius desertus,"Marcusenius desertus Kramer, van der Bank & Wink, 2016",,,Freshwater,Alien,Micro-endemic level 2,Not evaluated
Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Marcusenius,krameri,Marcusenius krameri,"Marcusenius krameri Maake, Gon & Swartz, 2014",,,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Marcusenius,macrolepidotu,Marcusenius macrolepidotu,"Marcusenius macrolepidotus (Peters, 1852)",,Bulldog,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Marcusenius,multisquamatus,Marcusenius multisquamatus,Marcusenius multisquamatus Kramer and Wink 2013,,,Freshwater,Alien,Micro-endemic level 2,Not evaluated
Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Marcusenius,pongolensis,Marcusenius pongolensis,"Marcusenius pongolensis (Fowler, 1934)",,,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Mormyrops,anguilloides,Mormyrops anguilloides,"Mormyrops anguilloides (Linnaeus, 1758)",,Cornish jack,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Mormyrus,lacerda,Mormyrus lacerda,"Mormyrus lacerda Castelnau, 1861",,Western bottlenose,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Mormyrus,longirostris,Mormyrus longirostris,"Mormyrus longirostris Peters, 1852",,Eastern bottelnose,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Paramormyrops,jacksoni,Paramormyrops jacksoni,"Paramormyrops jacksoni (Poll, 1967)",,Ghost stonebasher,Freshwater,Alien,Micro-endemic level 2,Data deficient 
Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Petrocephalus,catostoma,Petrocephalus catostoma,"Petrocephalus catostoma (Günther, 1866)",,Churchill,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Petrocephalus,longianalis,Petrocephalus longianalis,"Petrocephalus longianalis Kramer, Bills, Skelton & Wink, 2012",,,Freshwater,Alien,Micro-endemic level 2,Not evaluated
Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Petrocephalus,longicapitis,Petrocephalus longicapitis,"Petrocephalus longicapitis Kramer, Bills, Skelton & Wink, 2012",,,Freshwater,Alien,Micro-endemic level 2,Not evaluated
Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Petrocephalus,magnitrunci,Petrocephalus magnitrunci,"Petrocephalus magnitrunci Kramer, Bills, Skelton & Wink, 2012",,,Freshwater,Alien,Micro-endemic level 2,Not evaluated
Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Petrocephalus,magnoculis,Petrocephalus magnoculis,"Petrocephalus magnoculis Kramer, Bills, Skelton & Wink, 2012",,,Freshwater,Alien,Micro-endemic level 2,Not evaluated
Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Petrocephalus,okavangoensis,Petrocephalus okavangoensis,"Petrocephalus okavangoensis Kramer, Bills, Skelton & Wink, 2012",,,Freshwater,Alien,Regional endemic level 2,Not evaluated
Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Petrocephalus,petersi,Petrocephalus petersi,"Petrocephalus petersi Kramer, Bills, Skelton & Wink, 2012",,,Freshwater,Alien,Micro-endemic level 1,Not evaluated
Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Petrocephalus,wesselsi,Petrocephalus wesselsi,"Petrocephalus wesselsi (Kramer & van der Bank, 2000)",,Southern churchill,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Pollimyrus,castelnaui,Pollimyrus castelnaui,"Pollimyrus castelnaui (Boulenger, 1911)",,Dwarf stonebasher,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Pollimyrus,cuandoensis,Pollimyrus cuandoensis,"Pollimyrus cuandoensis Kramer, van der Bank & Wink, 2013",,,Freshwater,Alien,Regional endemic level 1,Not evaluated
Animalia,Chordata,Actinopterygii,Osteoglossiformes,Mormyridae,Pollimyrus,marianne,Pollimyrus marianne,"Pollimyrus marianne Kramer, van der Bank, Flint, Sauer-Gürth & Wink, 2003",,,Freshwater,Alien,Micro-endemic level 2,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Ambassidae,Ambassis,ambassis,Ambassis ambassis,"Ambassis ambassis (Lacepède, 1802)",Ambassis productus ,Longspine glassy ,Euryhaline,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Ambassidae,Ambassis,dussumieri,Ambassis dussumieri,"Ambassis dussumieri Cuvier, 1828",,Bald glassy,Euryhaline,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Ambassidae,Ambassis,natalensis,Ambassis natalensis,"Ambassis natalensis Gilchrist & Thompson, 1908",,Slender glassy,Euryhaline,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Anabantidae,Ctenopoma,multispine,Ctenopoma multispine,"Ctenopoma multispine Peters, 1844",,Many-spined climbing perch,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Anabantidae,Microctenopoma,intermedium,Microctenopoma intermedium,"Microctenopoma intermedium (Pellegrin, 1920)",,Blackspot climbing perch,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Anabantidae,Sandelia,bainsii,Sandelia bainsii,"Sandelia bainsii Castelnau, 1861",,Eastern Cape rocky,Freshwater,Native,Widespread,Endangered
Animalia,Chordata,Actinopterygii,Perciformes,Anabantidae,Sandelia,capensis,Sandelia capensis,"Sandelia capensis (Cuvier, 1829)",,Cape kurper,Freshwater,Native,Regional endemic level 1,Data deficient 
Animalia,Chordata,Actinopterygii,Perciformes,Anabantidae,Trichogaster ,trichopterus,Trichogaster  trichopterus,Trichogaster trichopterus,,Gourami ,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Lichia,amia,Lichia amia,"Lichia amia (Linnaeus, 1758)",,Leerfish,Euryhaline,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Lepomis,macrochirus,Lepomis macrochirus,"Lepomis macrochirus Rafinesque, 1819",,Bluegill sunfish ,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,dolomieu,Micropterus dolomieu,"Micropterus dolomieu  Lacepède, 1802",,Smallmouth bass,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,punctulatus,Micropterus punctulatus,"Micropterus punctulatus (Rafinesque, 1819)",,Spotted bass,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,salmoides,Micropterus salmoides,"Micropterus salmoides (Lacepède, 1802)",,Largemouth bass,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Astatotilapia,calliptera,Astatotilapia calliptera,"Astatotilapia calliptera (Günther, 1893)",,Eastern river bream,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Chetia,brevicauda,Chetia brevicauda,"Chetia brevicauda Bills and Weyl, 2002",,,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Chetia,brevis,Chetia brevis,"Chetia brevis Jubb, 1968",,Orange-fringed largemouth,Freshwater,Native,Widespread,Endangered
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Chetia,flaviventris,Chetia flaviventris,"Chetia flaviventris Trewavas, 1961",,Canary kurper,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Chetia,gracilis,Chetia gracilis,"Chetia gracilis (Greenwood, 1984)",,Slender river bream,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Chetia,welwitschi,Chetia welwitschi,"Chetia welwitschi (Boulenger, 1898)",,Angolan river bream,Freshwater,Alien,Widespread,Data deficient
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Hemichromis,elongatus,Hemichromis elongatus,"Hemichromis elongatus (Guichenot, 1859)",,Banded jewelfish,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,andersonii,Oreochromis andersonii,"Oreochromis andersonii (Castelnau, 1861)",,Threespot tilapia,Freshwater,Extralimital,Widespread,Vulnerable
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,aureus,Oreochromis aureus,"Oreochromis aureus (Steindachner, 1864)",,Israeli tilapia ,Freshwater,Alien,Widespread,Not evaluated
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,macrochir,Oreochromis macrochir,"Oreochromis (Nyasalapia) macrochir (Boulenger, 1912)",,Greenhead tilapia,Freshwater,Alien,Widespread,Vulnerable
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,mortimeri,Oreochromis mortimeri,"Oreochromis mortimeri (Trewavas, 1966)",,Kariba tilapia,Freshwater,Alien,Widespread,Critically Endangered
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,mossambicus,Oreochromis mossambicus,"Oreochromis mossambicus (Peters, 1852)",,Mozambique tilapia,Freshwater,Extralimital,Widespread,Near threatened
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,niloticus,Oreochromis niloticus,"Oreochromis niloticus (Linnaeus, 1758)",,Nile tilapia,Freshwater,Alien,Widespread,Not evaluated
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,placidus,Oreochromis placidus,"Oreochromis placidus (Trewavas, 1941)",,Black tilapia,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Oreochromis,shiranus,Oreochromis shiranus,"Oreochromis shiranus (Boulenger, 1896)",,Shire tilapia,Euryhaline,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Orthochromis,machadoi,Orthochromis machadoi,"Orthochromis machadoi (Poll, 1967)",,,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Pharyngochromis,acuticeps,Pharyngochromis acuticeps,"Pharyngochromis acuticeps (Steindachner, 1866)",,Zambezi river  bream,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Pseudocrenilabrus,philander,Pseudocrenilabrus philander,"Pseudocrenilabrus philander (Weber, 1897)",,Southern mouthbrooder,Freshwater,Native,Widespread,Not evaluated
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Sargochromis,carlottae,Sargochromis carlottae,"Sargochromis carlottae (Boulenger, 1905)",,Rainbow bream,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Sargochromis,codringtonii,Sargochromis codringtonii,"Sargochromis codringtonii (Boulenger, 1908)",,Green bream,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Sargochromis,coulteri,Sargochromis coulteri,"Sargochromis coulteri (Bell-Cross, 1975)",,Cunene bream,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Sargochromis,giardi,Sargochromis giardi,"Sargochromis giardi (Pellegrin, 1903)",,Pink bream,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Sargochromis,greenwoodi,Sargochromis greenwoodi,"Sargochromis greenwoodi (Bell-Cross, 1975)",,Greenwood's bream / Deepcheek bream,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Sargochromis,mortimeri,Sargochromis mortimeri,"Sargochromis mortimeri (Bell-Cross, 1975)",,Mortimer's bream / Kafue bream,Freshwater,Alien,Regional endemic level 1,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Schwetzochromis ,machadoi ,Schwetzochromis  machadoi ,"Schwetzochromis machadoi (Poll, 1967)",,Cunene dwarf bream,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Serranochromis,altus,Serranochromis altus,"Serranochromis altus Winemiller & Kelso-Winemiller, 1991",,Humpback largemouth,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Serranochromis,angusticeps,Serranochromis angusticeps,"Serranochromis angusticeps (Boulenger, 1907)",,Thinface largemouth,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Serranochromis,longimanus,Serranochromis longimanus,"Serranochromis longimanus (Boulenger, 1911)",,Longfin largemouth,Freshwater,Alien,Regional endemic level 1,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Serranochromis,macrocephalus,Serranochromis macrocephalus,"Serranochromis macrocephalus (Boulenger, 1899)",,Purpleface largemouth,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Serranochromis,meridianus,Serranochromis meridianus,"Serranochromis meridianus Jubb, 1967",,Lowveld largemouth,Freshwater,Native,Widespread,Endangered
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Serranochromis,robustus,Serranochromis robustus,"Serranochromis robustus jallae (Boulenger, 1896)",,Nembwe,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Serranochromis,robustus,Serranochromis robustus,"Serranochromis robustus robustus (Günther, 1896)",,Tsungwa,Freshwater,Alien,Widespread,Critically Endangered
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Serranochromis,thumbergi,Serranochromis thumbergi,"Serranochromis thumbergi (Castelnau, 1861)",,Brownspot largemouth,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Thoracochromis,albolabris,Thoracochromis albolabris,"Thoracochromis albolabris (Trewavas & Thys van den Audenaerde, 1969)",,Thicklipped river bream,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Thoracochromis,buysi,Thoracochromis buysi,"Thoracochromis buysi (Penrith, 1970)",,Namibriver bream,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Tilapia,guinasana,Tilapia guinasana,"Tilapia guinasana Trewavas, 1936",,Otjikoto tilapia,Freshwater,Alien,Regional endemic level 1,Critically Endangered
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Tilapia,rendalli,Tilapia rendalli,"Tilapia rendalli (Boulenger, 1896)",,Redbreast tilapia,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Tilapia,ruwet,Tilapia ruwet,"Tilapia ruweti (Poll & Thys van den Audenaerde, 1965)",,Okavango tilapia,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Tilapia,sparrmanii,Tilapia sparrmanii,"Tilapia sparrmanii Smith, 1840",,Banded tilapia,Freshwater,Extralimital,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Clinidae,Clinus ,superciliosus,Clinus  superciliosus,"Clinus superciliosus (Linnaeus, 1758)",,Super klipfish (MS),Euryhaline,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Eleotridae,Batanga ,lebretonis,Batanga  lebretonis,"Batanga lebretonis (Steindachner, 1870)",,Deep sleeper ,Freshwater,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Eleotridae,Eleotris, vittata,Eleotris  vittata,"Eleotris vittata  Duméril, 1858",,Striped sleeper ,Euryhaline,Alien,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Eleotridae,Eleotris,fusca,Eleotris fusca,"Eleotris fusca (Schneider, 1801)",,Dusky sleeper ,Freshwater,Native,Widespread,Least concern
Animalia,Chordata,Actinopterygii,Perciformes,Eleotridae,Eleotris,melanosoma,Eleotris melanosoma,"Eleotris melanosoma Bleeker, 1852",,Broadhead sleeper ,Freshwater,Native,Widespread,Least concern
