On GBIF,GBIF Link,Country records,Comments,Source,Taxon Rank,Kingdom,Phylum,Class,Order,Family,Genus,Species,SubSpecies,Taxon,Scientific name and authority,Origin,Endemism,Conservation status,Former scientific names,Common Name,French Name,Kinyarwanda Name,error_message
Yes,https://www.gbif.org/species/7849,Yes,"D1, V2",GBIF,Family,Animalia,Arthropoda,Insecta,Coleoptera,Elmidae,,,,Elmidae,,,,,,Riffle beetle,,,SUPERFAMILY' is not in list
Yes,https://www.gbif.org/species/7966,Yes,"D1, V2",GBIF,Family,Animalia,Arthropoda,Insecta,Coleoptera,Scirtidae,,,,Scirtidae,,,,,,Marsh beetle,,,'SUPERFAMILY' is not in list
